A42,BLK 461/465 ANG MO KIO ST 44,1.366580182,103.8573571,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A43,BLK 457/458/460 ANG MO KIO ST 44,1.365996736,103.8592599,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A44,BLK 459/456 ANG MO KIO ST 44,1.367205743,103.8589832,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A45,BLK 570/578 ANG MO KIO ST 51,1.370917693,103.8552242,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A47,BLK 562/565/560 ANG MO KIO STREET 54,1.370558167,103.8592392,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A48,BLK 571/73 ANG MO KIO ST 51,1.370371281,103.8546462,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A49,BLK 555/559 ANG MO KIO STREET 54,1.371329606,103.8577901,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A50,BLK 548/552/556 ANG MO KIO STREET 54,1.372522464,103.8576026,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A51,BLK 252/253A ANG MO KIO STREET 21,1.369470739,103.834375,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO
A52,BLK 701/716 ANG MO KIO AVE 3/6,1.370385433,103.8469187,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A52L,BLK 700B/ 700C ANG MO KIO AVE 3/6,1.369280634,103.8461307,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO
A53,BLK 712A ANG MO KIO AVE 3/6,1.370865023,103.8468734,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A54,BLK 727/728 ANG MO KIO AVE 6,1.37243436,103.8459117,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A55,BLK 729/730 ANG MO KIO AVE 6/8,1.373638536,103.846663,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A56,BLK 725/730 ANG MO KIO AVE 8,1.372698676,103.8471423,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A57,BLK 720/723 ANG MO KIO AVE 8,1.37201961,103.8469603,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A58,BLK 721/722 ANG MO KIO AVE 8,1.372347008,103.84772,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A59,BLK 547/551 ANG MO KIO ST 54,1.373896221,103.8581327,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A60,BLK 540/546 ANG MO KIO ST 54,1.374464495,103.8559069,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A61,BLK 520/534/529 ANG MO KIO AVE 5/10,1.374170446,103.8521546,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A63,BLK 501/513/508 ANG MO KIO ST 52/53,1.375176821,103.8493911,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A64,BLK 584/586 ANG MO KIO ST 51,1.370506585,103.8534678,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A65,BLK 558/560 ANG MO KIO STREET 54,1.371029159,103.8594097,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A66,BLK 601/604/603 ANG MO KIO AVE 5,1.380544931,103.8356599,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A67,BLK 605/612 ANG MO KIO AVE 4/5,1.379686324,103.8378036,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A68,BLK 620/624/626 ANG MO KIO ST 61,1.381897619,103.8398523,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A69,BLK 623/625/627 ANG MO KIO ST 61,1.381641458,103.8419429,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A7,BLK 212/213 ANG MO KIO STREET 23,1.368392487,103.8412995,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A70,BLK 629/626 ANG MO KIO AVE 4,1.380620641,103.8401052,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A71,BLK 628/632 ANG MO KIO ST 61,1.380009094,103.8407397,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A72,BLK 633/640 ANG MO KIO ST 61,1.380760963,103.8435274,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A73,BLK 641/645 ANG MO KIO ST 61,1.378848189,103.8408225,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A74,BLK 646/649 ANG MO KIO ST 61,1.37865168,103.8438016,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A75,BLK 177/182 ANG MO KIO AVE 4,1.376086591,103.8385862,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A76,BLK 613A ANG MO KIO AVENUE 4,1.377977112,103.8388332,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO
A77,BLK 150/156 ANG MO KIO AVE 5,1.376251001,103.8399535,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A78,BLK 157/163 ANG MO KIO AVE 4,1.374648501,103.8383853,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
