Robinson 77 (Formerly SIA Building),1.277767,103.848453
Robinson Centre,1.279255,103.849243
"School of the Arts Singapore (SOTA)",1.299387,103.848697
SGX Centre,1.279753,103.850076
Shenton House,1.278647,103.850132
Sim Lim Square,1.303043,103.852921
Sim Lim Tower,1.303765,103.854733
"Singapore General Hospital (Carpark C & E & G & I)",1.279046,103.83765
Singapore General Hospital (Multi-Storey Carpark H),1.279046,103.83765
Singapore Land Tower,1.284749,103.851992
Six Battery Road,1.285608,103.85197
Sunshine Plaza,1.300362,103.850825
Suntec City,1.294414,103.858096
Swissotel Merchant Court Hotel,1.288516,103.845708
Swissotel The Stamford Hotel,1.293354,103.85356
Tanjong Katong Complex,1.316376,103.894351
The Adelphi,1.291121,103.851274
The Concourse,1.300363,103.862432
The Corporate Office,1.284429,103.850494
The Esplanade,1.289793,103.855817
UE Square,1.292253,103.842744
UOB Plaza,1.285363,103.851224
Vivocity,1.264378,103.822314
27 West Coast Highway,1.283076,103.780605
798 Upper Bukit Timah Road,1.373506,103.763909
Alexandra Retail Centre,1.273981,103.801429
Anchorpoint Shopping Centre,1.288727,103.80518
Bukit Panjang Plaza,1.380002,103.764398
Bukit Timah Plaza (Multi-Storey Car Park),1.316755,103.806171
Bukit Timah Shopping Centre,1.343195,103.775969
Coronation Shopping Plaza,1.323773,103.810024
Holland Road Shopping Centre,1.310375,103.795502
IKEA (Alexandra),1.288007,103.806027
IMM Building,1.335113,103.746871
JCube,1.333139,103.740358
Junction 10,1.380456,103.76008
Jurong Point Shopping Centre,1.34046,103.70623
Jurong Theatre,1.333285,103.740183
Lot 1 Shopping Centre,1.385085,103.744943
NUH,1.293728,103.783176
Queensway Shopping Centre,1.28761,103.803514
Savoy Theatre,1.347382,103.711912
Serene Centre,1.322602,103.813698
Sunshine Place,1.378024,103.739059
The Clementi Mall,1.31486,103.764218
The Metropolis,1.306224,103.791262
The Star Vista,1.306763,103.788424
Tiong Bahru Plaza,1.286327,103.827279
Turf City,1.337892,103.793338
Valley Point,1.292961,103.827055
West Coast Plaza (Ginza Plaza),1.303644,103.765892
West Mall,1.35012,103.749214
Westgate,1.334516,103.74279
Yew Tee Point,1.397965,103.746938
